"DisplayName","Enabled","Direction","Action","Protocol","Port"
"Windows Remote Management (HTTP-In)","False","Inbound","Allow",,
"Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow",,
"Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow",,
"Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Outbound","Allow",,
"Inbound Rule for Remote Shutdown (TCP-In)","False","Inbound","Allow",,
"Inbound Rule for Remote Shutdown (RPC-EP-In)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (TCP-In)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow",,
"Distributed Transaction Coordinator (RPC)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (TCP-In)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow",,
"Distributed Transaction Coordinator (RPC)","False","Inbound","Allow",,
"Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow",,
"Remote Assistance (TCP-In)","False","Inbound","Allow",,
"Remote Assistance (TCP-Out)","False","Outbound","Allow",,
"Remote Assistance (PNRP-In)","False","Inbound","Allow",,
"Remote Assistance (PNRP-Out)","False","Outbound","Allow",,
"Remote Assistance (RA Server TCP-In)","True","Inbound","Allow",,
"Remote Assistance (RA Server TCP-Out)","True","Outbound","Allow",,
"Remote Assistance (DCOM-In)","True","Inbound","Allow",,
"Remote Assistance (TCP-In)","True","Inbound","Allow",,
"Remote Assistance (TCP-Out)","True","Outbound","Allow",,
"Remote Assistance (SSDP UDP-In)","True","Inbound","Allow",,
"Remote Assistance (SSDP UDP-Out)","True","Outbound","Allow",,
"Remote Assistance (SSDP TCP-In)","True","Inbound","Allow",,
"Remote Assistance (SSDP TCP-Out)","True","Outbound","Allow",,
"Remote Assistance (PNRP-In)","True","Inbound","Allow",,
"Remote Assistance (PNRP-Out)","True","Outbound","Allow",,
"@FirewallAPI.dll,-80201","True","Inbound","Allow",,
"@FirewallAPI.dll,-80204","True","Outbound","Allow",,
"@FirewallAPI.dll,-80206","True","Inbound","Allow",,
"File and Printer Sharing (NB-Session-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow",,
"File and Printer Sharing (SMB-In)","False","Inbound","Allow",,
"File and Printer Sharing (SMB-Out)","False","Outbound","Allow",,
"File and Printer Sharing (NB-Name-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Name-Out)","False","Outbound","Allow",,
"File and Printer Sharing (NB-Datagram-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow",,
"File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow",,
"File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv4-In)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow",,
"File and Printer Sharing (NB-Session-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow",,
"File and Printer Sharing (SMB-In)","False","Inbound","Allow",,
"File and Printer Sharing (SMB-Out)","False","Outbound","Allow",,
"File and Printer Sharing (NB-Name-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Name-Out)","False","Outbound","Allow",,
"File and Printer Sharing (NB-Datagram-In)","False","Inbound","Allow",,
"File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow",,
"File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow",,
"File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv4-In)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow",,
"File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow",,
"File and Printer Sharing (LLMNR-UDP-In)","False","Inbound","Allow",,
"File and Printer Sharing (LLMNR-UDP-Out)","False","Outbound","Allow",,
"HomeGroup In","False","Inbound","Allow",,
"HomeGroup Out","False","Outbound","Allow",,
"HomeGroup In (PNRP)","False","Inbound","Allow",,
"HomeGroup Out (PNRP)","False","Outbound","Allow",,
"Secure Socket Tunneling Protocol (SSTP-In)","False","Inbound","Allow",,
"Connected User Experiences and Telemetry","True","Outbound","Allow",,
"WFD ASP Coordination Protocol (UDP-In)","True","Inbound","Allow",,
"WFD ASP Coordination Protocol (UDP-Out)","True","Outbound","Allow",,
"Windows Media Player x86 (UDP-In)","False","Inbound","Allow",,
"Windows Media Player x86 (UDP-Out)","False","Outbound","Allow",,
"Windows Media Player x86 (TCP-Out)","False","Outbound","Allow",,
"Windows Media Player (UDP-In)","False","Inbound","Allow",,
"Windows Media Player (UDP-Out)","False","Outbound","Allow",,
"Windows Media Player (TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-TCP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (HTTP-Streaming-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (TCP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-TCP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (qWave-TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (SSDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (SSDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (UPnP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (UPnP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (HTTP-Streaming-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (Streaming-TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (UDP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (UDP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (TCP-In)","False","Inbound","Allow",,
"Windows Media Player Network Sharing Service (TCP-Out)","False","Outbound","Allow",,
"Windows Media Player Network Sharing Service (UPnPHost-Out)","False","Outbound","Allow",,
"Wireless Portable Devices (TCP-Out)","False","Outbound","Allow",,
"Wireless Portable Devices (TCP-Out)","False","Outbound","Allow",,
"Wireless Portable Devices (SSDP-In)","False","Inbound","Allow",,
"Wireless Portable Devices (SSDP-Out)","False","Outbound","Allow",,
"Wireless Portable Devices (UPnP-In)","False","Inbound","Allow",,
"Wireless Portable Devices (UPnP-Out)","False","Outbound","Allow",,
"Wireless Portable Devices (UPnPHost-Out)","False","Outbound","Allow",,
"Media Center Extenders - SSDP (UDP-In)","False","Inbound","Allow",,
"Media Center Extenders - SSDP (UDP-Out)","False","Outbound","Allow",,
"Media Center Extenders - RTSP (TCP-In)","False","Inbound","Allow",,
"Media Center Extenders - RTSP (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - qWave (UDP-In)","False","Inbound","Allow",,
"Media Center Extenders - qWave (UDP-Out)","False","Outbound","Allow",,
"Media Center Extenders - qWave (TCP-In)","False","Inbound","Allow",,
"Media Center Extenders - qWave (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - HTTP Streaming (TCP-In)","False","Inbound","Allow",,
"Media Center Extenders - XSP (TCP-In)","False","Inbound","Allow",,
"Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-In)","False","Inbound","Allow",,
"Media Center Extenders - WMDRM-ND/RTP/RTCP (UDP-Out)","False","Outbound","Allow",,
"Media Center Extenders - Service (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - Device Provisioning (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - Media Streaming (TCP-In)","False","Inbound","Allow",,
"Media Center Extenders - Media Streaming (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - Device Validation (TCP-Out)","False","Outbound","Allow",,
"Media Center Extenders - Media Streaming (UDP-Out)","False","Outbound","Allow",,
"Media Center Extenders - UPnP (TCP-Out)","False","Outbound","Allow",,
"Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTCP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow",,
"Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow",,
"Cast to Device streaming server (RTP-Streaming-Out)","True","Outbound","Allow",,
"Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow",,
"Cast to Device SSDP Discovery (UDP-In)","True","Inbound","Allow",,
"Cast to Device UPnP Events (TCP-In)","True","Inbound","Allow",,
"Cast to Device functionality (qWave-UDP-In)","True","Inbound","Allow",,
"Cast to Device functionality (qWave-UDP-Out)","True","Outbound","Allow",,
"Cast to Device functionality (qWave-TCP-In)","True","Inbound","Allow",,
"Cast to Device functionality (qWave-TCP-Out)","True","Outbound","Allow",,
"Paint 3D","True","Outbound","Allow",,
"Microsoft Pay","True","Outbound","Allow",,
"Xbox Game Bar Plugin","True","Outbound","Allow",,
"Xbox Console Companion","True","Outbound","Allow",,
"Mixed Reality Portal","True","Outbound","Allow",,
"Xbox TCUI","True","Outbound","Allow",,
"Microsoft Edge (mDNS-In)","True","Inbound","Allow",,
"Microsoft People","True","Outbound","Allow",,
"Microsoft Sticky Notes","True","Outbound","Allow",,
"Microsoft Sticky Notes","True","Inbound","Allow",,
"Windows Calculator","True","Outbound","Allow",,
"Microsoft Edge Game Assist","True","Outbound","Allow",,
"Intel? Graphics Command Center","True","Outbound","Allow",,
"Waves MaxxAudio Pro for Dell 2019","True","Outbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Inbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Inbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Inbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Inbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Outbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Outbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Outbound","Allow",,
"ms-resource:ProductPkgDisplayName","True","Outbound","Allow",,
"Your account","True","Outbound","Allow",,
"Your account","True","Inbound","Allow",,
"Work or school account","True","Outbound","Allow",,
"Work or school account","True","Inbound","Allow",,
"Captive Portal Flow","True","Outbound","Allow",,
"Start","True","Outbound","Allow",,
"Start","True","Inbound","Allow",,
"Windows Shell Experience","True","Outbound","Allow",,
"Windows Search","True","Outbound","Allow",,
"Windows Search","True","Inbound","Allow",,
